Neo Reference ID,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit ID,Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Inclination,Perihelion Distance,Aphelion Dist
2307070,20.7,0.1925550782,0.4305662442,14.6993080325,0.29796017,75,1491470639.0,0,0.143015,14.97551130247512,0.983258270673526,1.636811201451766
3734558,26.6,0.0127219879,0.0284472297,7.0338201988,0.1468899699,9,1491467440.0,7,0.0343444,11.6578340705379,1.004408837692671,1.622659913409897
3607784,20.8,0.1838886721,0.411187571,10.3752006154,0.1279454609,18,1491468553.0,5,0.0455787,3.96188969978091,1.029268494811101,2.840171401910947
3714454,21.9,0.1108038821,0.2477650126,14.513728327,0.3709957398,5,1491467688.0,7,0.0363997,28.37579851065576,0.8846585107584628,1.488460595428171
3653215,26.1,0.0160160338,0.0358129403,5.3095496281,0.1007910473,5,1491468240.0,7,0.0510451,10.04212054146096,0.9865016474962108,1.162316749712747
3314048,24.2,0.0384197891,0.0859092601,5.7763190905,0.0481663127,10,1491469754.0,6,0.0274085,5.903973907216583,0.8963969426038833,1.160296943377525
3553279,21.8,0.1160259082,0.2594418179,8.5694625908,0.1641726849,19,1491468918.0,4,0.0214322,5.530381518658426,0.7212644983114044,1.850366435799495
3736203,21.7,0.1214940408,0.2716689341,5.843494083,0.1425149704,5,1491467410.0,7,0.135627,10.53374379152336,1.084531270051238,1.799622038792415
3698498,25.6,0.0201629919,0.0450858206,10.6483860092,0.1614005037,6,1491468063.0,9,0.131427,14.17277134845532,0.9111459213433456,3.036109818956936
3175328,21.4,0.1394938229,0.3119176705,16.4045942393,0.2208746118,25,1491469990.0,2,0.0781464,17.70798528407041,0.6252503782568122,1.429166838580025
3388886,23.9,0.04411182,0.0986370281,6.4544541847,0.0980478323,14,1491469537.0,6,0.0973158,3.223359099645475,1.08345662347757,4.532176615003513
3748472,26.9,0.0110803882,0.0247765013,2.6082560405,0.0853113725,4,1491467231.0,7,0.0336951,2.07974763007612,0.8359228391845402,1.16845568442637
2141531,19.1,0.4023045798,0.8995803882,16.6930838743,0.2817509606,158,1495172954.0,0,0.280942,22.55638706557275,0.4672008168100699,1.516893086326133
3736412,27.5,0.008405334,0.0187948982,5.1158212779,0.1772972704,7,1491467399.0,1,0.0156394,7.640727040154666,0.816485721038098,1.18523133826937
3443811,21.8,0.1160259082,0.2594418179,12.4225108355,0.1662157471,16,1491469303.0,7,0.0110233,3.932545027864432,0.8356227681987878,4.147375750065396
2002100,16.05,1.6389095149,3.6647130844,23.3229221591,0.4005351707,182,1491471050.0,0,0.149558,15.7559714300814,0.4688451088077891,1.195237516354343
3686148,20.5,0.2111324448,0.4721064988,11.265969647,0.4401348347,15,1491467927.0,4,0.376163,22.90124735753338,1.224926421621969,3.257112457642739
2222073,18.1,0.6376097899,1.4257388333,18.5326146429,0.4415567021,113,1506063072.0,0,0.343076,34.22758436586313,1.205130811963143,1.567492310396537
3072196,24.5,0.0334622374,0.0748238376,7.2972643899,0.0792610177,16,1491470189.0,6,0.025664,11.63229032649051,0.9324572731363344,1.045889768717454
2005604,17.2,0.9650614696,2.1579430484,12.730781857,0.3758302839,146,1496038707.0,0,0.0331798,4.713586625633988,0.5515659335973813,1.306027454662483
2331509,18.3,0.5815070396,1.30028927,19.5947688288,0.4533342692,58,1491470612.0,0,0.368139,38.23688724772997,1.107842761562022,2.245697553707479
3559842,21.1,0.160160338,0.358129403,39.3301751831,0.4056353159,13,1491468848.0,1,0.0251441,6.759681515130592,0.3349008717965924,2.796036610505025
3508109,24.5,0.0334622374,0.0748238376,6.1950723405,0.2001516316,10,1491469107.0,7,0.00435573,6.002460701982621,0.7077554148519339,1.344200441157271
3760542,23.6,0.0506471459,0.1132504611,6.5827846266,0.3836086325,8,1491466993.0,6,0.0738227,8.2963621964989,1.044701856341617,1.526560915812054
3629114,23.9,0.04411182,0.0986370281,6.629864466,0.1164941087,7,1491468397.0,8,0.0945656,4.264220873099355,1.086343426441169,3.580475662104569
2286079,19.2,0.3841978911,0.8590926012,17.4257411113,0.2888850833,61,1491470654.0,0,0.148978,31.3294711519555,0.431913726584893,1.390683621553393
3261402,20.5,0.2111324448,0.4721064988,23.3945650772,0.4965229851,21,1482646699.0,1,0.172687,14.90243924908494,0.5127805392971879,1.590004662107135
3376345,25.4,0.022108281,0.0494356193,15.4680550081,0.3741095269,10,1491469587.0,6,0.00193145,13.46345043397556,0.8784698082801983,1.093242735056756
2351545,19.7,0.3051792326,0.6824015094,14.2493260223,0.1544649409,57,1491470584.0,0,0.0540166,13.1296906029755,0.7905718634083221,1.618194883182539
3563921,19.7,0.3051792326,0.6824015094,6.9296172431,0.4711777877,26,1483604288.0,1,0.295518,16.20433823185365,1.246891234929175,1.383286551759821
